user_id,signup_date,city,state,acquisition_channel,age_bucket,kyc_status,is_churned,recency_days,frequency,total_amount,avg_amount
1,2024-03-06,Bengaluru,Karnataka,"Merchant Partner",18-24,"Full KYC",0,37,17,6993.46,411.38
2,2025-07-18,Kolkata,"West Bengal","Bank Partnership",18-24,"Full KYC",1,114,1,986.95,986.95
3,2025-04-22,Hyderabad,Telangana,Organic,18-24,"Full KYC",0,109,9,6646.13,738.46
4,2024-11-16,Ahmedabad,Gujarat,"Merchant Partner",35-44,Pending,0,418,2,479.21,239.61
5,2024-11-12,Kolkata,"West Bengal",Referral,35-44,"Full KYC",0,4,6,2703.09,450.52
6,2025-09-18,Ranchi,Jharkhand,"Merchant Partner",55+,"Full KYC",1,59,1,850.65,850.65
7,2024-03-03,Bengaluru,Karnataka,Referral,35-44,"Min KYC",0,1,194,99302.34,511.87
8,2025-05-24,Hyderabad,Telangana,"Paid Ad",35-44,Pending,0,35,50,26968.33,539.37
9,2024-05-27,Delhi,Delhi,Organic,25-34,"Min KYC",0,3,51,34526.78,677.00
10,2024-03-09,Pune,Maharashtra,Organic,18-24,"Full KYC",0,15,83,39247.95,472.87
11,2025-01-19,Indore,"Madhya Pradesh",Referral,25-34,"Full KYC",1,126,3,745.76,248.59
12,2025-12-13,Delhi,Delhi,Organic,18-24,"Full KYC",0,11,13,7285.64,560.43
13,2025-06-21,Coimbatore,"Tamil Nadu","Paid Ad",45-54,"Full KYC",0,0,21,12388.61,589.93
14,2025-07-09,Mumbai,Maharashtra,Organic,25-34,"Full KYC",0,53,14,4852.13,346.58
15,2025-06-07,Bhopal,"Madhya Pradesh",Organic,35-44,"Full KYC",0,21,69,43853.51,635.56
16,2025-07-27,Jaipur,Rajasthan,Organic,55+,"Min KYC",0,45,21,10993.03,523.48
17,2025-01-09,Nagpur,Maharashtra,Organic,25-34,"Full KYC",0,124,19,18781.44,988.50
18,2024-04-03,Chennai,"Tamil Nadu",Organic,18-24,"Full KYC",0,40,35,24456.60,698.76
19,2025-09-05,Jaipur,Rajasthan,"Merchant Partner",25-34,"Full KYC",1,193,2,1175.91,587.96
20,2024-11-24,Mumbai,Maharashtra,Referral,35-44,"Full KYC",0,24,105,62356.10,593.87
21,2024-12-31,Hyderabad,Telangana,Organic,25-34,"Min KYC",0,41,21,8435.99,401.71
22,2024-09-27,Surat,Gujarat,Organic,25-34,"Full KYC",0,9,10,4768.77,476.88
23,2024-05-13,Mumbai,Maharashtra,"Merchant Partner",35-44,"Full KYC",0,12,17,8337.48,490.44
24,2025-11-07,Bhopal,"Madhya Pradesh",Organic,25-34,"Full KYC",0,0,42,18818.89,448.07
25,2025-07-24,Bengaluru,Karnataka,"Merchant Partner",18-24,"Min KYC",0,114,14,11867.84,847.70
26,2025-04-15,Hyderabad,Telangana,"Paid Ad",25-34,"Full KYC",1,18,67,38528.54,575.05
27,2024-10-20,Ahmedabad,Gujarat,Organic,25-34,"Full KYC",0,106,5,1639.49,327.90
28,2025-08-23,Mumbai,Maharashtra,"Bank Partnership",35-44,"Full KYC",1,56,20,10847.70,542.39
29,2025-02-02,Ahmedabad,Gujarat,Referral,25-34,"Min KYC",0,4,66,27806.72,421.31
30,2024-11-19,Nagpur,Maharashtra,"Merchant Partner",35-44,"Full KYC",1,37,6,3174.41,529.07
31,2024-11-24,Mumbai,Maharashtra,Organic,25-34,"Full KYC",0,15,30,10187.57,339.59
32,2024-06-14,Bengaluru,Karnataka,"Paid Ad",25-34,"Full KYC",0,5,52,34241.75,658.50
33,2024-03-08,Mumbai,Maharashtra,"Paid Ad",35-44,"Full KYC",0,12,91,48280.84,530.56
34,2025-02-08,Chennai,"Tamil Nadu",Organic,25-34,"Full KYC",0,2,5,2085.94,417.19
35,2025-10-10,Lucknow,"Uttar Pradesh","Merchant Partner",25-34,"Full KYC",0,27,44,18467.14,419.71
36,2024-02-16,Chandigarh,Punjab,"Merchant Partner",25-34,"Min KYC",0,62,10,3966.81,396.68
37,2025-09-18,Hyderabad,Telangana,"Paid Ad",25-34,"Full KYC",0,14,26,13375.81,514.45
38,2025-08-27,Delhi,Delhi,"Merchant Partner",55+,"Full KYC",0,0,47,23663.56,503.48
39,2024-07-21,Mumbai,Maharashtra,Organic,35-44,"Full KYC",0,136,8,1975.48,246.94
40,2025-04-06,Bengaluru,Karnataka,"Paid Ad",25-34,"Full KYC",0,17,10,4852.88,485.29
41,2024-04-30,Chennai,"Tamil Nadu",Organic,18-24,"Full KYC",0,10,41,16133.27,393.49
42,2025-07-07,Nagpur,Maharashtra,"Bank Partnership",25-34,"Full KYC",0,10,53,30075.93,567.47
43,2025-05-26,Delhi,Delhi,Referral,25-34,"Min KYC",1,0,10,3931.38,393.14
44,2024-09-15,Bhopal,"Madhya Pradesh","Merchant Partner",18-24,"Full KYC",0,0,137,78689.53,574.38
45,2024-02-19,Pune,Maharashtra,Organic,25-34,"Full KYC",0,7,22,9087.60,413.07
46,2025-12-09,Patna,Bihar,Organic,35-44,"Min KYC",0,231,4,1632.03,408.01
47,2024-11-21,Patna,Bihar,"Merchant Partner",25-34,"Full KYC",0,63,20,8437.05,421.85
48,2025-10-13,Patna,Bihar,Referral,18-24,"Full KYC",0,19,5,2018.78,403.76
49,2025-05-09,Hyderabad,Telangana,Organic,18-24,"Full KYC",1,201,2,444.25,222.13
50,2025-07-22,Hyderabad,Telangana,"Paid Ad",25-34,"Full KYC",0,23,10,4929.10,492.91
51,2025-07-08,Delhi,Delhi,Organic,18-24,"Full KYC",0,0,115,68385.26,594.65
52,2024-05-22,Delhi,Delhi,Referral,25-34,"Full KYC",0,13,12,7571.32,630.94
53,2024-09-22,Ahmedabad,Gujarat,"Merchant Partner",25-34,"Full KYC",0,105,21,9209.36,438.54
54,2024-12-06,Coimbatore,"Tamil Nadu","Paid Ad",25-34,"Full KYC",0,55,12,11513.24,959.44
55,2024-12-29,Kolkata,"West Bengal",Referral,25-34,"Min KYC",0,393,9,3973.37,441.49
56,2024-02-01,Hyderabad,Telangana,Organic,35-44,"Min KYC",0,38,32,16995.92,531.12
57,2025-02-02,Bengaluru,Karnataka,Organic,25-34,"Min KYC",1,NULL,0,NULL,NULL
58,2024-04-22,Ahmedabad,Gujarat,Organic,35-44,"Full KYC",0,12,54,24732.13,458.00
59,2025-06-26,Delhi,Delhi,"Merchant Partner",35-44,"Full KYC",0,11,72,39340.46,546.40
60,2025-05-13,Mumbai,Maharashtra,Organic,25-34,"Full KYC",0,7,86,39137.22,455.08
61,2025-11-04,Mumbai,Maharashtra,"Merchant Partner",25-34,"Full KYC",0,35,15,12094.50,806.30
62,2025-06-27,Patna,Bihar,Referral,35-44,"Full KYC",0,27,10,3462.24,346.22
63,2024-09-24,Hyderabad,Telangana,"Bank Partnership",25-34,"Full KYC",0,0,280,170049.60,607.32
64,2025-12-07,Chandigarh,Punjab,Organic,18-24,"Full KYC",0,21,11,8576.68,779.70
65,2024-10-26,Chennai,"Tamil Nadu","Merchant Partner",18-24,"Min KYC",0,42,8,4005.89,500.74
66,2024-08-25,Jaipur,Rajasthan,"Merchant Partner",25-34,"Full KYC",0,54,10,4258.61,425.86
67,2025-10-23,Indore,"Madhya Pradesh",Referral,55+,"Full KYC",0,55,9,3553.88,394.88
68,2024-09-27,Kochi,Kerala,"Bank Partnership",25-34,"Full KYC",0,17,24,10589.78,441.24
69,2024-02-25,Delhi,Delhi,Organic,25-34,Pending,0,22,19,8721.61,459.03
70,2024-12-08,Delhi,Delhi,Organic,35-44,Pending,0,5,49,15149.36,309.17
71,2025-08-03,Delhi,Delhi,"Bank Partnership",18-24,Pending,0,45,6,4164.20,694.03
72,2024-05-18,Pune,Maharashtra,Organic,45-54,Pending,0,1,162,92423.63,570.52
73,2024-12-03,Delhi,Delhi,Organic,55+,"Full KYC",0,37,10,4902.17,490.22
74,2024-04-04,Ahmedabad,Gujarat,Referral,35-44,"Full KYC",0,194,5,848.81,169.76
75,2025-05-16,Hyderabad,Telangana,"Bank Partnership",18-24,"Full KYC",0,5,51,31047.25,608.77
76,2024-12-13,Coimbatore,"Tamil Nadu","Merchant Partner",45-54,"Min KYC",0,3,33,12355.84,374.42
77,2024-08-29,Indore,"Madhya Pradesh",Organic,18-24,"Full KYC",0,13,42,18619.91,443.33
78,2024-06-14,Lucknow,"Uttar Pradesh",Referral,18-24,"Full KYC",0,10,13,20344.01,1564.92
79,2025-02-16,Jaipur,Rajasthan,Referral,35-44,"Full KYC",0,3,40,20464.63,511.62
80,2025-05-03,Mumbai,Maharashtra,"Merchant Partner",35-44,"Full KYC",0,20,9,3634.50,403.83
81,2025-11-17,Mumbai,Maharashtra,Organic,25-34,"Min KYC",1,NULL,0,NULL,NULL
82,2024-11-15,Pune,Maharashtra,Organic,35-44,"Min KYC",1,3,18,8604.01,478.00
83,2024-04-27,Nagpur,Maharashtra,"Paid Ad",45-54,"Min KYC",0,31,9,3958.73,439.86
84,2025-08-30,Mumbai,Maharashtra,Organic,45-54,"Min KYC",0,18,53,23032.80,434.58
85,2025-04-04,Pune,Maharashtra,Referral,25-34,"Full KYC",0,6,20,11289.70,564.49
86,2025-05-26,Bhopal,"Madhya Pradesh","Paid Ad",25-34,"Min KYC",0,116,5,6199.29,1239.86
87,2024-03-11,Bengaluru,Karnataka,"Paid Ad",55+,"Min KYC",1,52,12,4437.96,369.83
88,2024-08-16,Chandigarh,Punjab,Referral,25-34,"Full KYC",0,1,14,5267.53,376.25
89,2025-07-14,Chandigarh,Punjab,"Merchant Partner",45-54,"Full KYC",0,101,10,6849.00,684.90
90,2025-08-30,Mumbai,Maharashtra,"Paid Ad",18-24,Pending,0,7,137,66919.83,488.47
91,2024-11-13,Ahmedabad,Gujarat,"Merchant Partner",18-24,"Full KYC",0,2,165,79983.69,484.75
92,2025-08-10,Delhi,Delhi,"Paid Ad",18-24,"Full KYC",0,154,13,7581.56,583.20
93,2025-09-06,Pune,Maharashtra,Referral,25-34,"Min KYC",0,6,150,75553.66,503.69
94,2024-10-09,Kochi,Kerala,"Paid Ad",45-54,"Full KYC",0,18,28,11722.92,418.68
95,2025-10-17,Mumbai,Maharashtra,Referral,18-24,"Min KYC",0,75,9,5559.06,617.67
96,2024-07-29,Chandigarh,Punjab,Organic,45-54,"Full KYC",0,3,65,43890.26,675.23
97,2024-06-23,Ranchi,Jharkhand,Referral,35-44,"Full KYC",0,20,90,47614.02,529.04
98,2025-05-13,Jaipur,Rajasthan,"Bank Partnership",25-34,"Min KYC",0,0,38,21403.63,563.25
99,2025-04-09,Hyderabad,Telangana,"Paid Ad",25-34,"Full KYC",0,12,22,9776.46,444.38
100,2024-04-12,Bengaluru,Karnataka,"Paid Ad",35-44,"Full KYC",0,20,22,13381.83,608.27
101,2025-08-30,Pune,Maharashtra,"Paid Ad",25-34,"Full KYC",0,21,21,11158.94,531.38
102,2024-05-25,Delhi,Delhi,Referral,35-44,"Min KYC",0,2,174,107428.54,617.41
103,2025-08-10,Mumbai,Maharashtra,Referral,18-24,"Full KYC",0,27,13,7035.00,541.15
104,2024-01-06,Mumbai,Maharashtra,Organic,18-24,"Full KYC",1,2,16,11267.81,704.24
105,2025-08-04,Jaipur,Rajasthan,Organic,35-44,"Full KYC",0,0,122,76190.17,624.51
106,2025-07-28,Mumbai,Maharashtra,"Merchant Partner",25-34,"Full KYC",0,40,40,29108.86,727.72
107,2025-07-23,Bengaluru,Karnataka,Organic,18-24,"Full KYC",0,28,11,5997.41,545.22
108,2025-04-30,Jaipur,Rajasthan,"Paid Ad",35-44,"Min KYC",0,3,19,8894.95,468.16
109,2024-12-10,Delhi,Delhi,Referral,35-44,"Min KYC",0,26,4,1490.88,372.72
110,2025-05-29,Bengaluru,Karnataka,Organic,35-44,Pending,0,309,7,3118.07,445.44
111,2024-07-21,Mumbai,Maharashtra,Organic,25-34,"Full KYC",0,13,30,16825.62,560.85
112,2025-07-23,Mumbai,Maharashtra,"Bank Partnership",35-44,"Min KYC",0,19,47,19414.37,413.07
113,2025-02-09,Delhi,Delhi,Referral,25-34,"Full KYC",1,69,16,6974.72,435.92
114,2024-12-01,Delhi,Delhi,Organic,35-44,"Full KYC",0,21,41,31095.65,758.43
115,2025-01-04,Pune,Maharashtra,Organic,25-34,"Full KYC",1,NULL,0,NULL,NULL
116,2025-02-19,Delhi,Delhi,Organic,35-44,"Full KYC",0,2,76,36195.69,476.26
117,2024-01-28,Bengaluru,Karnataka,"Paid Ad",55+,"Full KYC",0,74,37,21464.49,580.12
118,2024-04-12,Lucknow,"Uttar Pradesh","Merchant Partner",35-44,"Full KYC",0,3,54,28331.82,524.66
119,2024-06-28,Ahmedabad,Gujarat,Organic,35-44,"Full KYC",0,4,73,40472.74,554.42
120,2024-03-24,Hyderabad,Telangana,Referral,18-24,"Full KYC",0,10,36,16503.95,458.44
