device_id,user_id,device_type,primary_network
1,1,Android,4G
2,2,Android,4G
3,3,Android,4G
4,4,Android,5G
5,5,Android,4G
6,5,Android,4G
7,6,Android,WiFi
8,7,Android,4G
9,8,Android,WiFi
10,8,iOS,5G
11,9,Android,4G
12,9,Android,4G
13,10,iOS,5G
14,11,Android,4G
15,12,iOS,5G
16,12,Web,4G
17,13,Android,4G
18,14,Android,4G
19,15,Android,5G
20,16,iOS,4G
21,17,Android,4G
22,18,Android,4G
23,18,Android,4G
24,19,Android,5G
25,20,Android,5G
26,21,Android,4G
27,22,Android,WiFi
28,22,Android,5G
29,23,Android,WiFi
30,23,Android,WiFi
31,24,Android,WiFi
32,25,iOS,4G
33,26,iOS,WiFi
34,27,Android,4G
35,27,iOS,4G
36,28,Android,4G
37,29,Android,4G
38,30,iOS,WiFi
39,31,Android,4G
40,32,Android,5G
41,33,Android,WiFi
42,34,iOS,4G
43,35,iOS,WiFi
44,35,Android,5G
45,36,Android,4G
46,37,Android,5G
47,38,Android,WiFi
48,39,Android,5G
49,40,iOS,5G
50,41,Android,WiFi
51,42,Android,5G
52,42,Android,5G
53,43,iOS,5G
54,43,Android,4G
55,44,Android,WiFi
56,45,Android,WiFi
57,46,Android,5G
58,46,Android,4G
59,47,Android,5G
60,48,Android,WiFi
61,49,Android,5G
62,50,Android,4G
63,51,Android,4G
64,52,Android,4G
65,53,Android,5G
66,54,iOS,WiFi
67,55,Android,4G
68,56,Android,WiFi
69,57,Android,5G
70,58,Android,5G
71,59,Android,4G
72,59,Android,5G
73,60,iOS,5G
74,61,Web,4G
75,62,Android,4G
76,63,Android,5G
77,63,Android,5G
78,64,Android,WiFi
79,65,iOS,3G
80,66,Android,4G
81,67,Android,4G
82,68,iOS,WiFi
83,69,iOS,4G
84,70,Android,5G
85,71,Android,4G
86,72,Android,4G
87,73,iOS,4G
88,73,Android,4G
89,74,Android,4G
90,74,iOS,3G
91,75,Android,WiFi
92,76,Android,4G
