merchant_id,merchant_name,category,tier,city,onboarding_date,state
1,"Choudhury, Bakshi and Maharaj",Utilities/Bill Pay,Micro,Hyderabad,2025-05-31,Telangana
2,Kapoor and Sons,Kirana/Local Store,Enterprise,Jaipur,2024-09-19,Rajasthan
3,"Chaudry, Chahal and Sami",Utilities/Bill Pay,Micro,Mumbai,2025-05-12,Maharashtra
4,Balan Inc,Grocery,SME,Hyderabad,2025-01-19,Telangana
5,Kaul PLC,Entertainment,Micro,Surat,2024-08-28,Gujarat
6,"Bala, Issac and Saini",Travel & Transport,Micro,Chennai,2025-01-27,Tamil Nadu
7,Sen PLC,Grocery,SME,Patna,2024-10-01,Bihar
8,Ahuja-Dutta,Electronics,SME,Mumbai,2025-07-17,Maharashtra
9,"Sami, Oak and Mall",Grocery,SME,Chennai,2024-02-08,Tamil Nadu
10,Kale LLC,Entertainment,Enterprise,Jaipur,2025-04-14,Rajasthan
11,Chanda Group,Grocery,Enterprise,Hyderabad,2025-09-01,Telangana
12,Parmer LLC,Food & Dining,Micro,Pune,2024-05-29,Maharashtra
13,"Lalla, Bassi and Sharaf",Fuel,Micro,Chennai,2025-04-22,Tamil Nadu
14,"Dash, Radhakrishnan and Brar",Fuel,Micro,Delhi,2025-07-28,Delhi
15,"Memon, Pathak and Handa",Utilities/Bill Pay,SME,Chennai,2024-01-05,Tamil Nadu
16,"Boase, Bath and Kari",Pharmacy,Micro,Bengaluru,2025-06-27,Karnataka
17,Buch-Kaul,Grocery,Micro,Hyderabad,2025-03-15,Telangana
18,Rai LLC,Kirana/Local Store,SME,Delhi,2024-06-28,Delhi
19,Patla-Gaba,Food & Dining,SME,Hyderabad,2024-08-25,Telangana
20,Pant-Kadakia,Entertainment,SME,Lucknow,2024-05-06,Uttar Pradesh
21,"Loke, Bora and Garg",Food & Dining,Micro,Pune,2025-12-08,Maharashtra
22,"Konda, Gade and Shere",Food & Dining,Micro,Indore,2024-01-30,Madhya Pradesh
23,Madan-Kanda,Grocery,Micro,Bhopal,2024-10-17,Madhya Pradesh
24,"Nair, Bhalla and Karnik",Kirana/Local Store,Micro,Delhi,2025-04-18,Delhi
25,Mutti Group,Food & Dining,Enterprise,Mumbai,2024-06-23,Maharashtra
26,Bhatti-Kakar,Electronics,Micro,Bengaluru,2025-10-01,Karnataka
27,"Murty, Kala and Tata",Electronics,Micro,Chennai,2025-04-01,Tamil Nadu
28,Shanker-Dhar,Electronics,SME,Bengaluru,2025-04-13,Karnataka
29,Dewan-Koshy,Electronics,Enterprise,Mumbai,2025-10-26,Maharashtra
30,"Yohannan, Lall and Sangha",Travel & Transport,SME,Chennai,2024-04-05,Tamil Nadu
31,"Rastogi, Pathak and Kanda",Grocery,SME,Chennai,2025-06-01,Tamil Nadu
32,Upadhyay Group,Electronics,Micro,Lucknow,2025-11-05,Uttar Pradesh
33,Batta Inc,Fashion & Apparel,Micro,Bengaluru,2024-04-08,Karnataka
34,Dutta Ltd,Grocery,Enterprise,Mumbai,2025-08-19,Maharashtra
35,Bhatt-Rajan,Home Services,Micro,Jaipur,2024-11-28,Rajasthan
36,Sidhu-Wadhwa,Food & Dining,Micro,Jaipur,2025-07-12,Rajasthan
37,Apte-Contractor,Pharmacy,SME,Mumbai,2024-01-21,Maharashtra
38,"Yadav, Loke and Oak",Utilities/Bill Pay,SME,Hyderabad,2025-10-05,Telangana
39,Memon Group,Travel & Transport,Enterprise,Bengaluru,2025-03-07,Karnataka
40,Setty Inc,Financial Services,Enterprise,Ranchi,2024-10-10,Jharkhand
41,"Lall, Tella and Gokhale",Grocery,Micro,Kolkata,2024-04-24,West Bengal
42,"Cherian, Misra and Tripathi",Education,Micro,Delhi,2024-05-01,Delhi
43,"Issac, Dua and Prakash",Utilities/Bill Pay,Micro,Kolkata,2025-09-23,West Bengal
44,Zacharia PLC,Grocery,SME,Delhi,2025-04-27,Delhi
45,Naik Group,Pharmacy,Micro,Kolkata,2025-07-12,West Bengal
46,Choudhury LLC,Financial Services,SME,Kochi,2025-11-01,Kerala
47,Khatri-Bhardwaj,Electronics,Micro,Chennai,2024-06-19,Tamil Nadu
48,Brar Inc,Pharmacy,SME,Chennai,2024-06-09,Tamil Nadu
49,"Sunder, Biswas and Walia",Utilities/Bill Pay,Micro,Mumbai,2025-01-02,Maharashtra
50,Dave Ltd,Grocery,Enterprise,Ahmedabad,2025-01-13,Gujarat
51,Gandhi-Lanka,Grocery,Enterprise,Mumbai,2024-09-20,Maharashtra
52,"Sampath, Kakar and Zacharia",Pharmacy,Micro,Kolkata,2025-09-18,West Bengal
53,"Iyer, Muni and Rastogi",Entertainment,SME,Kolkata,2025-01-28,West Bengal
54,"Prakash, Sarma and Varughese",Kirana/Local Store,Micro,Bengaluru,2024-04-26,Karnataka
55,Dara-Kota,Electronics,Micro,Coimbatore,2024-12-17,Tamil Nadu
56,Bhatt LLC,Grocery,Micro,Delhi,2024-09-15,Delhi
57,Karpe PLC,Grocery,Micro,Bengaluru,2025-05-11,Karnataka
58,Amble Inc,Utilities/Bill Pay,Micro,Patna,2025-08-17,Bihar
59,"Bhargava, Karnik and Bir",Electronics,SME,Coimbatore,2024-08-14,Tamil Nadu
60,Narayanan Inc,Food & Dining,SME,Chandigarh,2025-04-14,Punjab
61,"Khanna, Mallick and Sunder",Fashion & Apparel,SME,Bhopal,2025-03-27,Madhya Pradesh
62,Zacharia and Sons,Financial Services,SME,Mumbai,2024-03-29,Maharashtra
63,"Solanki, Kibe and Solanki",Entertainment,SME,Mumbai,2025-08-27,Maharashtra
64,Gupta-Chandra,Home Services,SME,Hyderabad,2025-02-05,Telangana
65,Sankar LLC,Travel & Transport,Enterprise,Surat,2025-07-24,Gujarat
66,Roy-Sibal,Grocery,Micro,Ranchi,2024-09-21,Jharkhand
67,"Bhagat, Chaudhari and Bhat",Utilities/Bill Pay,Micro,Indore,2025-08-04,Madhya Pradesh
68,Nori-Chopra,Fashion & Apparel,SME,Kochi,2025-12-14,Kerala
69,Handa and Sons,Fashion & Apparel,Micro,Hyderabad,2024-04-12,Telangana
