refund_id,transaction_id,refund_amount,refund_date,refund_reason
1,5,216.88,2025-12-09 09:28:49,Service Not Rendered
2,24,366.49,2025-09-22 21:04:12,Service Not Rendered
3,39,556.37,2025-01-16 09:19:45,Product Return
4,70,150.75,2024-11-12 09:08:53,Duplicate Payment
5,176,67.22,2025-12-30 08:24:52,Order Cancelled
6,206,263.78,2025-08-11 13:47:33,Product Return
7,224,621.37,2024-11-17 15:38:47,Order Cancelled
8,262,45.98,2025-11-29 07:32:25,Order Cancelled
9,276,391.47,2024-08-18 16:56:56,Merchant Error
10,432,208.95,2024-10-30 13:30:09,Merchant Error
11,618,438.33,2024-11-04 21:26:55,Service Not Rendered
12,690,232.53,2024-04-21 13:25:20,Duplicate Payment
13,749,315.46,2025-07-15 08:41:06,Order Cancelled
14,820,278.65,2024-08-08 09:29:25,Product Return
15,836,241.65,2024-10-26 22:13:50,Order Cancelled
16,979,101.61,2024-04-11 22:59:43,Order Cancelled
17,996,136.06,2025-06-16 17:56:49,Duplicate Payment
18,1023,262.84,2024-12-22 20:07:56,Duplicate Payment
19,1036,179.1,2024-10-25 20:32:03,Order Cancelled
20,1134,326.55,2025-01-22 22:32:51,Service Not Rendered
21,1235,127.95,2024-04-03 14:45:05,Order Cancelled
22,1306,170.1,2024-12-17 09:04:13,Merchant Error
23,1358,357.7,2024-06-05 19:35:24,Product Return
24,1447,392.83,2025-10-09 18:08:20,Order Cancelled
25,1591,795.9,2025-12-21 10:58:21,Product Return
26,1638,342.85,2025-01-31 23:31:45,Merchant Error
27,1639,466.67,2025-11-14 09:38:31,Product Return
28,1841,128.18,2024-10-02 17:59:28,Merchant Error
29,2020,101.9,2024-09-25 19:11:24,Product Return
30,2097,365.8,2024-05-14 11:41:23,Product Return
31,2228,162.84,2024-07-15 12:26:32,Service Not Rendered
32,2240,677.12,2025-11-13 18:14:32,Product Return
33,2281,389.18,2024-11-09 22:27:33,Order Cancelled
34,2288,362.9,2025-12-27 20:44:20,Order Cancelled
35,2319,95.75,2025-12-25 16:58:05,Duplicate Payment
36,2507,140.52,2024-09-17 17:50:07,Merchant Error
37,2518,763.39,2025-05-23 16:15:12,Service Not Rendered
38,2539,253.14,2024-07-05 18:18:52,Product Return
39,2594,209.02,2024-03-31 11:33:05,Product Return
40,2645,161.7,2024-07-16 06:32:31,Service Not Rendered
41,2671,310.49,2024-04-23 20:54:46,Duplicate Payment
42,2736,415.3,2025-08-19 21:11:43,Product Return
43,2859,97.06,2024-04-24 13:05:42,Order Cancelled
44,2935,63.21,2024-06-15 22:49:31,Order Cancelled
45,3025,339.12,2024-04-25 17:14:39,Product Return
46,3041,250.97,2024-08-20 21:49:11,Product Return
47,3082,1075.51,2024-02-27 11:22:54,Order Cancelled
48,3150,363.67,2024-10-15 12:42:24,Merchant Error
49,3169,79.85,2024-07-17 21:51:06,Order Cancelled
50,3179,436.21,2025-05-24 11:47:44,Order Cancelled
51,3190,529.18,2024-11-02 20:44:19,Duplicate Payment
52,3254,452.75,2024-01-16 20:55:29,Order Cancelled
