user_id,signup_date,city,state,acquisition_channel,age_bucket,kyc_status,is_churned
1,2024-03-06,Bengaluru,Karnataka,Merchant Partner,18-24,Full KYC,False
2,2025-07-18,Kolkata,West Bengal,Bank Partnership,18-24,Full KYC,True
3,2025-04-22,Hyderabad,Telangana,Organic,18-24,Full KYC,False
4,2024-11-16,Ahmedabad,Gujarat,Merchant Partner,35-44,Pending,False
5,2024-11-12,Kolkata,West Bengal,Referral,35-44,Full KYC,False
6,2025-09-18,Ranchi,Jharkhand,Merchant Partner,55+,Full KYC,True
7,2024-03-03,Bengaluru,Karnataka,Referral,35-44,Min KYC,False
8,2025-05-24,Hyderabad,Telangana,Paid Ad,35-44,Pending,False
9,2024-05-27,Delhi,Delhi,Organic,25-34,Min KYC,False
10,2024-03-09,Pune,Maharashtra,Organic,18-24,Full KYC,False
11,2025-01-19,Indore,Madhya Pradesh,Referral,25-34,Full KYC,True
12,2025-12-13,Delhi,Delhi,Organic,18-24,Full KYC,False
13,2025-06-21,Coimbatore,Tamil Nadu,Paid Ad,45-54,Full KYC,False
14,2025-07-09,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
15,2025-06-07,Bhopal,Madhya Pradesh,Organic,35-44,Full KYC,False
16,2025-07-27,Jaipur,Rajasthan,Organic,55+,Min KYC,False
17,2025-01-09,Nagpur,Maharashtra,Organic,25-34,Full KYC,False
18,2024-04-03,Chennai,Tamil Nadu,Organic,18-24,Full KYC,False
19,2025-09-05,Jaipur,Rajasthan,Merchant Partner,25-34,Full KYC,True
20,2024-11-24,Mumbai,Maharashtra,Referral,35-44,Full KYC,False
21,2024-12-31,Hyderabad,Telangana,Organic,25-34,Min KYC,False
22,2024-09-27,Surat,Gujarat,Organic,25-34,Full KYC,False
23,2024-05-13,Mumbai,Maharashtra,Merchant Partner,35-44,Full KYC,False
24,2025-11-07,Bhopal,Madhya Pradesh,Organic,25-34,Full KYC,False
25,2025-07-24,Bengaluru,Karnataka,Merchant Partner,18-24,Min KYC,False
26,2025-04-15,Hyderabad,Telangana,Paid Ad,25-34,Full KYC,True
27,2024-10-20,Ahmedabad,Gujarat,Organic,25-34,Full KYC,False
28,2025-08-23,Mumbai,Maharashtra,Bank Partnership,35-44,Full KYC,True
29,2025-02-02,Ahmedabad,Gujarat,Referral,25-34,Min KYC,False
30,2024-11-19,Nagpur,Maharashtra,Merchant Partner,35-44,Full KYC,True
31,2024-11-24,Mumbai,Maharashtra,Organic,25-34,Full KYC,False
32,2024-06-14,Bengaluru,Karnataka,Paid Ad,25-34,Full KYC,False
33,2024-03-08,Mumbai,Maharashtra,Paid Ad,35-44,Full KYC,False
34,2025-02-08,Chennai,Tamil Nadu,Organic,25-34,Full KYC,False
35,2025-10-10,Lucknow,Uttar Pradesh,Merchant Partner,25-34,Full KYC,False
36,2024-02-16,Chandigarh,Punjab,Merchant Partner,25-34,Min KYC,False
37,2025-09-18,Hyderabad,Telangana,Paid Ad,25-34,Full KYC,False
38,2025-08-27,Delhi,Delhi,Merchant Partner,55+,Full KYC,False
39,2024-07-21,Mumbai,Maharashtra,Organic,35-44,Full KYC,False
40,2025-04-06,Bengaluru,Karnataka,Paid Ad,25-34,Full KYC,False
