txn_date,total_amount,txn_count
2024-01-01,583689.27,1159
2024-01-02,564255.44,1117
2024-01-03,591483.62,1077
2024-01-04,634991.40,1144
2024-01-05,579216.95,1070
2024-01-06,760040.66,1389
2024-01-07,734297.15,1386
2024-01-08,554085.04,1046
2024-01-09,553626.47,1093
2024-01-10,579983.00,1094
2024-01-11,641957.30,1168
2024-01-12,583993.20,1110
2024-01-13,740386.80,1323
2024-01-14,675011.51,1354
2024-01-15,589891.26,1161
2024-01-16,535604.71,1057
2024-01-17,646880.92,1139
2024-01-18,599831.53,1129
2024-01-19,581273.07,1115
2024-01-20,767477.44,1399
2024-01-21,759167.15,1390
2024-01-22,558886.52,1098
2024-01-23,563602.83,1083
2024-01-24,629605.34,1118
2024-01-25,575274.10,1083
2024-01-26,566639.22,1072
2024-01-27,708311.82,1380
2024-01-28,803344.42,1421
2024-01-29,633206.86,1103
2024-01-30,523867.76,1088
2024-01-31,614766.35,1126
2024-02-01,655761.65,1149
2024-02-02,584943.68,1095
2024-02-03,762399.68,1361
2024-02-04,693274.93,1375
2024-02-05,589374.34,1163
2024-02-06,543942.81,1081
2024-02-07,595922.34,1117
2024-02-08,608406.85,1127
2024-02-09,579795.73,1081
2024-02-10,728481.21,1322
2024-02-11,788024.10,1387
2024-02-12,551020.21,1055
2024-02-13,543794.06,1049
2024-02-14,616414.49,1086
2024-02-15,634222.23,1137
2024-02-16,571013.77,1089
2024-02-17,721583.13,1411
2024-02-18,772239.50,1387
2024-02-19,573592.62,1028
2024-02-20,628331.34,1108
2024-02-21,601930.14,1136
2024-02-22,607193.78,1101
2024-02-23,576633.17,1070
2024-02-24,672491.11,1364
2024-02-25,705410.70,1372
2024-02-26,619433.21,1094
2024-02-27,587083.08,1101
2024-02-28,593851.73,1096
2024-02-29,580851.85,1078
2024-03-01,557106.92,1071
2024-03-02,748455.46,1423
2024-03-03,666804.55,1356
2024-03-04,552003.66,1097
2024-03-05,570059.67,1099
2024-03-06,589650.80,1089
2024-03-07,576326.92,1056
2024-03-08,573924.29,1111
2024-03-09,707796.79,1326
2024-03-10,734424.25,1409
2024-03-11,589327.42,1101
2024-03-12,605822.84,1122
2024-03-13,570933.28,1075
2024-03-14,601484.82,1110
2024-03-15,595480.82,1112
2024-03-16,760029.76,1385
2024-03-17,716036.49,1336
2024-03-18,614197.59,1117
2024-03-19,575272.69,1085
2024-03-20,542631.23,1046
2024-03-21,612211.96,1108
2024-03-22,614714.64,1144
2024-03-23,714122.03,1398
2024-03-24,753666.07,1407
2024-03-25,588710.09,1107
2024-03-26,557343.75,1086
2024-03-27,603976.25,1118
2024-03-28,592905.13,1087
2024-03-29,593074.50,1096
2024-03-30,699559.69,1316
2024-03-31,719510.03,1364
2024-04-01,592169.45,1089
2024-04-02,615893.49,1104
2024-04-03,627830.32,1144
2024-04-04,609221.12,1106
2024-04-05,632379.39,1153
2024-04-06,713693.97,1313
2024-04-07,701413.04,1347
2024-04-08,605978.32,1140
2024-04-09,540309.89,1044
2024-04-10,615248.95,1102
2024-04-11,591317.76,1078
2024-04-12,651638.95,1112
2024-04-13,745119.81,1384
2024-04-14,687110.91,1327
2024-04-15,549466.77,1071
2024-04-16,593614.00,1075
2024-04-17,517393.70,1018
2024-04-18,553897.36,1109
2024-04-19,656785.69,1102
2024-04-20,752420.88,1456
2024-04-21,761966.54,1411
2024-04-22,589124.39,1079
2024-04-23,628054.06,1123
2024-04-24,611019.31,1106
2024-04-25,540192.49,1089
2024-04-26,594191.63,1096
2024-04-27,758006.96,1370
2024-04-28,746461.84,1384
2024-04-29,609871.86,1084
2024-04-30,584653.30,1157
2024-05-01,555876.08,1130
2024-05-02,591164.77,1130
2024-05-03,608727.15,1086
2024-05-04,746901.65,1355
2024-05-05,727475.63,1397
2024-05-06,675645.69,1091
2024-05-07,628880.95,1186
2024-05-08,601299.55,1146
2024-05-09,575641.50,1071
2024-05-10,632486.28,1134
2024-05-11,751907.04,1347
2024-05-12,760475.98,1343
2024-05-13,593519.22,1075
2024-05-14,651875.57,1110
2024-05-15,546757.13,1079
2024-05-16,600271.14,1153
2024-05-17,614350.93,1097
2024-05-18,711192.00,1345
2024-05-19,692696.21,1370
2024-05-20,601352.19,1115
2024-05-21,608145.38,1115
2024-05-22,571157.09,1094
2024-05-23,579843.00,1078
2024-05-24,553061.21,1030
2024-05-25,791229.76,1410
2024-05-26,697646.64,1342
2024-05-27,522007.31,1045
2024-05-28,608980.65,1124
2024-05-29,537280.66,1074
2024-05-30,531472.57,1120
